"","Department","Position","Place.of.Residence","PositionID"
"7988","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","BENTON",7988
"7989","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","CLINTON",7989
"7990","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","DUBUQUE",7990
"7991","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","HARDIN",7991
"7992","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","JASPER",7992
"7993","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","POLK",7993
"7994","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","STORY",7994
"7995","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","WARREN",7995
"7996","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","WEBSTER",7996
"7997","Inspections & Appeals, Department of","LABORATORY ASSISTANT 2","WINNESHIEK",7997
"7998","Inspections & Appeals, Department of","LAW CLERK 1","POLK",7998
"7999","Inspections & Appeals, Department of","LEGAL SECRETARY 2","MARION",7999
"8000","Inspections & Appeals, Department of","LEGAL SECRETARY 3","STORY",8000
"8001","Inspections & Appeals, Department of","LICENSING ASSISTANT","",8001
"8002","Inspections & Appeals, Department of","LICENSING ASSISTANT","BLACK HAWK",8002
"8003","Inspections & Appeals, Department of","LICENSING ASSISTANT","CLAYTON",8003
"8004","Inspections & Appeals, Department of","LICENSING ASSISTANT","CLINTON",8004
"8005","Inspections & Appeals, Department of","LICENSING ASSISTANT","DAVIS",8005
"8006","Inspections & Appeals, Department of","LICENSING ASSISTANT","DUBUQUE",8006
"8007","Inspections & Appeals, Department of","LICENSING ASSISTANT","LEE",8007
"8008","Inspections & Appeals, Department of","LICENSING ASSISTANT","MILLS",8008
"8009","Inspections & Appeals, Department of","LICENSING ASSISTANT","MITCHELL",8009
"8010","Inspections & Appeals, Department of","LICENSING ASSISTANT","PALO ALTO",8010
"8011","Inspections & Appeals, Department of","LICENSING ASSISTANT","POLK",8011
"8012","Inspections & Appeals, Department of","LICENSING ASSISTANT","POTTAWATTAMIE",8012
"8013","Inspections & Appeals, Department of","LICENSING ASSISTANT","SCOTT",8013
"8014","Inspections & Appeals, Department of","LICENSING ASSISTANT","WARREN",8014
"8015","Inspections & Appeals, Department of","LICENSING ASSISTANT","WOODBURY",8015
"8016","Inspections & Appeals, Department of","LIEUTENANT GOVERNOR","POLK",8016
"8017","Inspections & Appeals, Department of","MAGISTRATE","JOHNSON",8017
"8018","Inspections & Appeals, Department of","MAGISTRATE","LINN",8018
"8019","Inspections & Appeals, Department of","MAGISTRATE                      3","CERRO GORDO",8019
"8020","Inspections & Appeals, Department of","MAGISTRATE                      3","POLK",8020
"8021","Inspections & Appeals, Department of","MANAGEMENT ANALYST 3","DUBUQUE",8021
"8022","Inspections & Appeals, Department of","MANAGEMENT ANALYST 4","POLK",8022
"8023","Inspections & Appeals, Department of","NURSE SUPERVISOR","MARSHALL",8023
"8024","Inspections & Appeals, Department of","PARALEGAL","JASPER",8024
"8025","Inspections & Appeals, Department of","PARALEGAL","POLK",8025
"8026","Inspections & Appeals, Department of","PARALEGAL","WARREN",8026
"8027","Inspections & Appeals, Department of","PARALEGAL","WEBSTER",8027
"8028","Inspections & Appeals, Department of","PROGRAM PLANNER 2","",8028
"8029","Inspections & Appeals, Department of","PROGRAM PLANNER 2","ALLAMAKEE",8029
"8030","Inspections & Appeals, Department of","PROGRAM PLANNER 2","BLACK HAWK",8030
"8031","Inspections & Appeals, Department of","PROGRAM PLANNER 2","BUENA VISTA",8031
"8032","Inspections & Appeals, Department of","PROGRAM PLANNER 2","CARROLL",8032
"8033","Inspections & Appeals, Department of","PROGRAM PLANNER 2","CERRO GORDO",8033
"8034","Inspections & Appeals, Department of","PROGRAM PLANNER 2","CLAY",8034
"8035","Inspections & Appeals, Department of","PROGRAM PLANNER 2","DECATUR",8035
"8036","Inspections & Appeals, Department of","PROGRAM PLANNER 2","DICKINSON",8036
"8037","Inspections & Appeals, Department of","PROGRAM PLANNER 2","DUBUQUE",8037
"8038","Inspections & Appeals, Department of","PROGRAM PLANNER 2","HAMILTON",8038
"8039","Inspections & Appeals, Department of","PROGRAM PLANNER 2","HARDIN",8039
"8040","Inspections & Appeals, Department of","PROGRAM PLANNER 2","HENRY",8040
"8041","Inspections & Appeals, Department of","PROGRAM PLANNER 2","HUMBOLDT",8041
"8042","Inspections & Appeals, Department of","PROGRAM PLANNER 2","LINN",8042
"8043","Inspections & Appeals, Department of","PROGRAM PLANNER 2","MILLS",8043
"8044","Inspections & Appeals, Department of","PROGRAM PLANNER 2","PAGE",8044
"8045","Inspections & Appeals, Department of","PROGRAM PLANNER 2","PLYMOUTH",8045
"8046","Inspections & Appeals, Department of","PROGRAM PLANNER 2","POLK",8046
"8047","Inspections & Appeals, Department of","PROGRAM PLANNER 2","POTTAWATTAMIE",8047
"8048","Inspections & Appeals, Department of","PROGRAM PLANNER 2","RINGGOLD",8048
"8049","Inspections & Appeals, Department of","PROGRAM PLANNER 2","SCOTT",8049
"8050","Inspections & Appeals, Department of","PROGRAM PLANNER 2","STORY",8050
"8051","Inspections & Appeals, Department of","PROGRAM PLANNER 2","TAMA",8051
"8052","Inspections & Appeals, Department of","PROGRAM PLANNER 2","WAPELLO",8052
"8053","Inspections & Appeals, Department of","PROGRAM PLANNER 2","WASHINGTON",8053
"8054","Inspections & Appeals, Department of","PROGRAM PLANNER 2","WINNESHIEK",8054
"8055","Inspections & Appeals, Department of","PROGRAM PLANNER 2","WOODBURY",8055
"8056","Inspections & Appeals, Department of","PROGRAM PLANNER 3","CARROLL",8056
"8057","Inspections & Appeals, Department of","PROGRAM PLANNER 3","LINN",8057
"8058","Inspections & Appeals, Department of","PROGRAM PLANNER 3","POLK",8058
"8059","Inspections & Appeals, Department of","PROGRAM PLANNER 3","TAMA",8059
"8060","Inspections & Appeals, Department of","PROGRAM PLANNER 3","WOODBURY",8060
"8061","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","",8061
"8062","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","BLACK HAWK",8062
"8063","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","BREMER",8063
"8064","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","CERRO GORDO",8064
"8065","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","DES MOINES",8065
"8066","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","DUBUQUE",8066
"8067","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","JOHNSON",8067
"8068","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","LEE",8068
"8069","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","LINN",8069
"8070","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","MARION",8070
"8071","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","POLK",8071
"8072","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","POTTAWATTAMIE",8072
"8073","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","SCOTT",8073
"8074","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","STORY",8074
"8075","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","WAPELLO",8075
"8076","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","WARREN",8076
"8077","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","WEBSTER",8077
"8078","Inspections & Appeals, Department of","PUBLIC DEFENDER 1","WOODBURY",8078
"8079","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","",8079
"8080","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","BENTON",8080
"8081","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","BLACK HAWK",8081
"8082","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","BREMER",8082
"8083","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","BUCHANAN",8083
"8084","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","CARROLL",8084
"8085","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","CERRO GORDO",8085
"8086","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","CLINTON",8086
"8087","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","DALLAS",8087
"8088","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","DES MOINES",8088
"8089","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","DUBUQUE",8089
"8090","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","GRUNDY",8090
"8091","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","HARRISON",8091
"8092","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","JOHNSON",8092
"8093","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","JONES",8093
"8094","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","LEE",8094
"8095","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","LINN",8095
"8096","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","MAHASKA",8096
"8097","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","MARSHALL",8097
"8098","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","MONONA",8098
"8099","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","PAGE",8099
"8100","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","POLK",8100
"8101","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","POTTAWATTAMIE",8101
"8102","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","SCOTT",8102
"8103","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","SIOUX",8103
"8104","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","STORY",8104
"8105","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","TAMA",8105
"8106","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","WAPELLO",8106
"8107","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","WARREN",8107
"8108","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","WASHINGTON",8108
"8109","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","WEBSTER",8109
"8110","Inspections & Appeals, Department of","PUBLIC DEFENDER 2","WOODBURY",8110
"8111","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","",8111
"8112","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","BLACK HAWK",8112
"8113","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","DALLAS",8113
"8114","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","DUBUQUE",8114
"8115","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","FAYETTE",8115
"8116","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","JOHNSON",8116
"8117","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","LINN",8117
"8118","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","PLYMOUTH",8118
"8119","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","POLK",8119
"8120","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","POTTAWATTAMIE",8120
"8121","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","SCOTT",8121
"8122","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","WARREN",8122
"8123","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","WEBSTER",8123
"8124","Inspections & Appeals, Department of","PUBLIC DEFENDER 3","WOODBURY",8124
"8125","Inspections & Appeals, Department of","PUBLIC DEFENDER FELLOW","BLACK HAWK",8125
"8126","Inspections & Appeals, Department of","PUBLIC DEFENDER FELLOW","JOHNSON",8126
"8127","Inspections & Appeals, Department of","PUBLIC DEFENDER FELLOW","POLK",8127
"8128","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","",8128
"8129","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","BLACK HAWK",8129
"8130","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","DAVIS",8130
"8131","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","DES MOINES",8131
"8132","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","DUBUQUE",8132
"8133","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","JOHNSON",8133
"8134","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","LEE",8134
"8135","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","LINN",8135
"8136","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","PLYMOUTH",8136
"8137","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","POLK",8137
"8138","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","SCOTT",8138
"8139","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","STORY",8139
"8140","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","WAPELLO",8140
"8141","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","WASHINGTON",8141
"8142","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","WEBSTER",8142
"8143","Inspections & Appeals, Department of","PUBLIC DEFENDER SUPERVIS","WOODBURY",8143
"8144","Inspections & Appeals, Department of","PUBLIC SERVICE EXECUTIVE","CLARKE",8144
"8145","Inspections & Appeals, Department of","PUBLIC SERVICE EXECUTIVE","DALLAS",8145
"8146","Inspections & Appeals, Department of","PUBLIC SERVICE EXECUTIVE","JASPER",8146
"8147","Inspections & Appeals, Department of","PUBLIC SERVICE EXECUTIVE","LINN",8147
"8148","Inspections & Appeals, Department of","PUBLIC SERVICE EXECUTIVE","POLK",8148
"8149","Inspections & Appeals, Department of","PUBLIC SERVICE EXECUTIVE","WARREN",8149
"8150","Inspections & Appeals, Department of","PUBLIC SERVICE MANAGER 1","CARROLL",8150
"8151","Inspections & Appeals, Department of","PUBLIC SERVICE MANAGER 1","DUBUQUE",8151
"8152","Inspections & Appeals, Department of","PUBLIC SERVICE MANAGER 1","POLK",8152
"8153","Inspections & Appeals, Department of","PUBLIC SERVICE MANAGER 1","WARREN",8153
"8154","Inspections & Appeals, Department of","PUBLIC SERVICE MANAGER 2","POLK",8154
"8155","Inspections & Appeals, Department of","PUBLIC SERVICE MANAGER 2","WARREN",8155
"8156","Inspections & Appeals, Department of","PUBLIC SERVICE SUPERVISO","POLK",8156
"8157","Inspections & Appeals, Department of","PUBLIC SERVICE SUPERVISO","WARREN",8157
"8158","Inspections & Appeals, Department of","RACING & GAMING COMM MBR","BUENA VISTA",8158
"8159","Inspections & Appeals, Department of","RACING & GAMING COMM MBR","CHICKASAW",8159
"8160","Inspections & Appeals, Department of","RACING & GAMING COMM MBR","KOSSUTH",8160
"8161","Inspections & Appeals, Department of","RACING & GAMING COMM MBR","LINN",8161
"8162","Inspections & Appeals, Department of","RACING & GAMING COMM MBR","LUCAS",8162
"8163","Inspections & Appeals, Department of","RACING & GAMING COMM MBR","POLK",8163
"8164","Inspections & Appeals, Department of","RACING & GAMING COMM MBR","POTTAWATTAMIE",8164
"8165","Inspections & Appeals, Department of","RACING & GAMING COMM MBR        1","CHICKASAW",8165
"8166","Inspections & Appeals, Department of","RACING & GAMING COMM MBR        1","KOSSUTH",8166
"8167","Inspections & Appeals, Department of","RACING & GAMING COMM MBR        1","LUCAS",8167
"8168","Inspections & Appeals, Department of","RACING & GAMING COMM MBR        1","POLK",8168
"8169","Inspections & Appeals, Department of","RACING & GAMING COMM MBR        1","POTTAWATTAMIE",8169
"8170","Inspections & Appeals, Department of","RACING STEWARD, EQUINE","",8170
"8171","Inspections & Appeals, Department of","RACING STEWARD, EQUINE","POLK",8171
"8172","Inspections & Appeals, Department of","RACING VETERINARIAN CANI","",8172
"8173","Inspections & Appeals, Department of","RACING VETERINARIAN CANI","CLARKE",8173
"8174","Inspections & Appeals, Department of","RACING VETERINARIAN CANI","DELAWARE",8174
"8175","Inspections & Appeals, Department of","RACING VETERINARIAN CANI","DUBUQUE",8175
"8176","Inspections & Appeals, Department of","RACING VETERINARIAN CANI","LINN",8176
"8177","Inspections & Appeals, Department of","RACING VETERINARIAN CANI","STORY",8177
"8178","Inspections & Appeals, Department of","RACING VETERINARIAN, EQU","",8178
"8179","Inspections & Appeals, Department of","RACING VETERINARIAN, EQU","POLK",8179
"8180","Inspections & Appeals, Department of","RACING VETERINARIAN, EQU","STORY",8180
"8181","Inspections & Appeals, Department of","RACING VETERINARIAN, EQU","WARREN",8181
"8182","Inspections & Appeals, Department of","SECRETARY 1","",8182
"8183","Inspections & Appeals, Department of","SECRETARY 1","BLACK HAWK",8183
"8184","Inspections & Appeals, Department of","SECRETARY 1","BUENA VISTA",8184
"8185","Inspections & Appeals, Department of","SECRETARY 1","CERRO GORDO",8185
"8186","Inspections & Appeals, Department of","SECRETARY 1","DELAWARE",8186
"8187","Inspections & Appeals, Department of","SECRETARY 1","DUBUQUE",8187
"8188","Inspections & Appeals, Department of","SECRETARY 1","HENRY",8188
"8189","Inspections & Appeals, Department of","SECRETARY 1","IDA",8189
"8190","Inspections & Appeals, Department of","SECRETARY 1","JACKSON",8190
"8191","Inspections & Appeals, Department of","SECRETARY 1","JASPER",8191
"8192","Inspections & Appeals, Department of","SECRETARY 1","JOHNSON",8192
"8193","Inspections & Appeals, Department of","SECRETARY 1","KEOKUK",8193
"8194","Inspections & Appeals, Department of","SECRETARY 1","LINN",8194
"8195","Inspections & Appeals, Department of","SECRETARY 1","MARION",8195
"8196","Inspections & Appeals, Department of","SECRETARY 1","POLK",8196
"8197","Inspections & Appeals, Department of","SECRETARY 1","POTTAWATTAMIE",8197
"8198","Inspections & Appeals, Department of","SECRETARY 1","SCOTT",8198
"8199","Inspections & Appeals, Department of","SECRETARY 1","STORY",8199
"8200","Inspections & Appeals, Department of","SECRETARY 1","TAMA",8200
"8201","Inspections & Appeals, Department of","SECRETARY 1","WARREN",8201
"8202","Inspections & Appeals, Department of","SECRETARY 1","WASHINGTON",8202
"8203","Inspections & Appeals, Department of","SECRETARY 1","WOODBURY",8203
"8204","Inspections & Appeals, Department of","SECRETARY 2","",8204
"8205","Inspections & Appeals, Department of","SECRETARY 2","BLACK HAWK",8205
"8206","Inspections & Appeals, Department of","SECRETARY 2","BOONE",8206
"8207","Inspections & Appeals, Department of","SECRETARY 2","CEDAR",8207
"8208","Inspections & Appeals, Department of","SECRETARY 2","CERRO GORDO",8208
"8209","Inspections & Appeals, Department of","SECRETARY 2","DES MOINES",8209
"8210","Inspections & Appeals, Department of","SECRETARY 2","DUBUQUE",8210
"8211","Inspections & Appeals, Department of","SECRETARY 2","JASPER",8211
"8212","Inspections & Appeals, Department of","SECRETARY 2","JOHNSON",8212
"8213","Inspections & Appeals, Department of","SECRETARY 2","LEE",8213
"8214","Inspections & Appeals, Department of","SECRETARY 2","LINN",8214
"8215","Inspections & Appeals, Department of","SECRETARY 2","MARSHALL",8215
"8216","Inspections & Appeals, Department of","SECRETARY 2","MILLS",8216
"8217","Inspections & Appeals, Department of","SECRETARY 2","MUSCATINE",8217
"8218","Inspections & Appeals, Department of","SECRETARY 2","POLK",8218
"8219","Inspections & Appeals, Department of","SECRETARY 2","POTTAWATTAMIE",8219
"8220","Inspections & Appeals, Department of","SECRETARY 2","STORY",8220
"8221","Inspections & Appeals, Department of","SECRETARY 2","WAPELLO",8221
"8222","Inspections & Appeals, Department of","SECRETARY 2","WEBSTER",8222
"8223","Inspections & Appeals, Department of","SECRETARY 2","WOODBURY",8223
"8224","Inspections & Appeals, Department of","SECRETARY 3","POLK",8224
"8225","Inspections & Appeals, Department of","SERIP RETIREE","",8225
"8226","Inspections & Appeals, Department of","SERIP RETIREE","APPANOOSE",8226
"8227","Inspections & Appeals, Department of","SERIP RETIREE","BLACK HAWK",8227
"8228","Inspections & Appeals, Department of","SERIP RETIREE","BOONE",8228
"8229","Inspections & Appeals, Department of","SERIP RETIREE","BUCHANAN",8229
"8230","Inspections & Appeals, Department of","SERIP RETIREE","DALLAS",8230
"8231","Inspections & Appeals, Department of","SERIP RETIREE","DELAWARE",8231
"8232","Inspections & Appeals, Department of","SERIP RETIREE","DUBUQUE",8232
"8233","Inspections & Appeals, Department of","SERIP RETIREE","IOWA",8233
"8234","Inspections & Appeals, Department of","SERIP RETIREE","LEE",8234
"8235","Inspections & Appeals, Department of","SERIP RETIREE","LINN",8235
"8236","Inspections & Appeals, Department of","SERIP RETIREE","POLK",8236
"8237","Inspections & Appeals, Department of","SERIP RETIREE","SCOTT",8237
"8238","Inspections & Appeals, Department of","SERIP RETIREE","STORY",8238
"8239","Inspections & Appeals, Department of","SERIP RETIREE","VAN BUREN",8239
"8240","Inspections & Appeals, Department of","SERIP RETIREE","WARREN",8240
"8241","Inspections & Appeals, Department of","SERIP RETIREE","WASHINGTON",8241
"8242","Inspections & Appeals, Department of","SERIP RETIREE","WEBSTER",8242
"8243","Inspections & Appeals, Department of","SERIP RETIREE","WOODBURY",8243
"8244","Inspections & Appeals, Department of","SLIP RETIREE","",8244
"8245","Inspections & Appeals, Department of","SLIP RETIREE","BLACK HAWK",8245
"8246","Inspections & Appeals, Department of","SLIP RETIREE","BOONE",8246
"8247","Inspections & Appeals, Department of","SLIP RETIREE","CALHOUN",8247
"8248","Inspections & Appeals, Department of","SLIP RETIREE","CERRO GORDO",8248
"8249","Inspections & Appeals, Department of","SLIP RETIREE","CHICKASAW",8249
"8250","Inspections & Appeals, Department of","SLIP RETIREE","CLAY",8250
"8251","Inspections & Appeals, Department of","SLIP RETIREE","CLAYTON",8251
"8252","Inspections & Appeals, Department of","SLIP RETIREE","DALLAS",8252
"8253","Inspections & Appeals, Department of","SLIP RETIREE","DAVIS",8253
"8254","Inspections & Appeals, Department of","SLIP RETIREE","DELAWARE",8254
"8255","Inspections & Appeals, Department of","SLIP RETIREE","DES MOINES",8255
"8256","Inspections & Appeals, Department of","SLIP RETIREE","DUBUQUE",8256
"8257","Inspections & Appeals, Department of","SLIP RETIREE","FLOYD",8257
"8258","Inspections & Appeals, Department of","SLIP RETIREE","HARDIN",8258
"8259","Inspections & Appeals, Department of","SLIP RETIREE","IOWA",8259
"8260","Inspections & Appeals, Department of","SLIP RETIREE","JOHNSON",8260
"8261","Inspections & Appeals, Department of","SLIP RETIREE","LEE",8261
"8262","Inspections & Appeals, Department of","SLIP RETIREE","LINN",8262
"8263","Inspections & Appeals, Department of","SLIP RETIREE","LUCAS",8263
"8264","Inspections & Appeals, Department of","SLIP RETIREE","MAHASKA",8264
"8265","Inspections & Appeals, Department of","SLIP RETIREE","MARION",8265
"8266","Inspections & Appeals, Department of","SLIP RETIREE","MARSHALL",8266
"8267","Inspections & Appeals, Department of","SLIP RETIREE","MONONA",8267
"8268","Inspections & Appeals, Department of","SLIP RETIREE","PLYMOUTH",8268
"8269","Inspections & Appeals, Department of","SLIP RETIREE","POCAHONTAS",8269
"8270","Inspections & Appeals, Department of","SLIP RETIREE","POLK",8270
"8271","Inspections & Appeals, Department of","SLIP RETIREE","POTTAWATTAMIE",8271
"8272","Inspections & Appeals, Department of","SLIP RETIREE","SCOTT",8272
"8273","Inspections & Appeals, Department of","SLIP RETIREE","STORY",8273
"8274","Inspections & Appeals, Department of","SLIP RETIREE","WARREN",8274
"8275","Inspections & Appeals, Department of","SLIP RETIREE","WINNESHIEK",8275
"8276","Inspections & Appeals, Department of","SLIP RETIREE","WOODBURY",8276
"8277","Inspections & Appeals, Department of","SOCIAL WORKER 3","WARREN",8277
"8278","Inspections & Appeals, Department of","STATE PUBLIC DEFENDER","BLACK HAWK",8278
"8279","Inspections & Appeals, Department of","STATE PUBLIC DEFENDER","DALLAS",8279
"8280","Inspections & Appeals, Department of","STATE PUBLIC DEFENDER","POLK",8280
"8281","Inspections & Appeals, Department of","STATE PUBLIC DEFENDER           9","POLK",8281
"8282","Inspections & Appeals, Department of","TRAINING SPECIALIST 2","POLK",8282
"8283","Inspections & Appeals, Department of","TRAINING SPECIALIST 2","SCOTT",8283
"8284","Inspections & Appeals, Department of","TRAINING SPECIALIST 2","WARREN",8284
"8285","Inspections & Appeals, Department of","TYPIST-ADVANCED","POLK",8285
"8286","Inspections & Appeals, Department of","TYPIST-ADVANCED","WARREN",8286
"8287","Inspections & Appeals, Department of","UTILITY OFFICE WORKER","LINN",8287
"8288","Inspections & Appeals, Department of","UTILITY OFFICE WORKER","WASHINGTON",8288
"8289","Inspections & Appeals, Department of","UTILITY WORKER","LINN",8289
"8290","Inspections & Appeals, Department of","WORD PROCESSOR 2","POLK",8290
"8291","Inspections & Appeals, Department of","WORD PROCESSOR 3","POLK",8291
"8292","Iowa Civil Rights Commission","ADMIN ASSISTANT 1","POLK",8292
"8293","Iowa Civil Rights Commission","ADMIN ASSISTANT 2","POLK",8293
"8294","Iowa Civil Rights Commission","ADMIN ASSISTANT 2","WARREN",8294
"8295","Iowa Civil Rights Commission","ADMIN INTERN","POLK",8295
"8296","Iowa Civil Rights Commission","ADMIN LAW JUDGE 2","MARSHALL",8296
"8297","Iowa Civil Rights Commission","ADMIN LAW JUDGE 2","POLK",8297
"8298","Iowa Civil Rights Commission","ASST ATTORNEY GENERAL 2","POLK",8298
"8299","Iowa Civil Rights Commission","ATTORNEY 1","POLK",8299
"8300","Iowa Civil Rights Commission","ATTORNEY 2","POLK",8300
"8301","Iowa Civil Rights Commission","CIVIL RIGHTS SPECIALIST","JASPER",8301
"8302","Iowa Civil Rights Commission","CIVIL RIGHTS SPECIALIST","MARSHALL",8302
"8303","Iowa Civil Rights Commission","CIVIL RIGHTS SPECIALIST","POLK",8303
"8304","Iowa Civil Rights Commission","CIVIL RIGHTS SPECIALIST","STORY",8304
"8305","Iowa Civil Rights Commission","CIVIL RIGHTS SPECIALIST","WARREN",8305
"8306","Iowa Civil Rights Commission","CLERK","",8306
"8307","Iowa Civil Rights Commission","CLERK","JOHNSON",8307
"8308","Iowa Civil Rights Commission","CLERK","LINN",8308
"8309","Iowa Civil Rights Commission","CLERK","POLK",8309
"8310","Iowa Civil Rights Commission","CLERK-ADVANCED","POLK",8310
"8311","Iowa Civil Rights Commission","CLERK-SPECIALIST","",8311
"8312","Iowa Civil Rights Commission","CLERK-SPECIALIST","POLK",8312
"8313","Iowa Civil Rights Commission","DIR DEPT OF CIVIL RIGHTS","POLK",8313
"8314","Iowa Civil Rights Commission","DIR DEPT OF CIVIL RIGHTS","STORY",8314
"8315","Iowa Civil Rights Commission","DIR DEPT OF CIVIL RIGHTS        9","POLK",8315
"8316","Iowa Civil Rights Commission","DIR DEPT OF WORKFORCE DE","POLK",8316
"8317","Iowa Civil Rights Commission","EXEC OFF 2","POLK",8317
"8318","Iowa Civil Rights Commission","EXEC SECRETARY","POLK",8318
"8319","Iowa Civil Rights Commission","HUMAN RESOURCES ASSOCIAT","POLK",8319
"8320","Iowa Civil Rights Commission","INCOME MAINT WORKER 2","POLK",8320
"8321","Iowa Civil Rights Commission","LAW CLERK","POLK",8321
"8322","Iowa Civil Rights Commission","LAW CLERK 1","",8322
"8323","Iowa Civil Rights Commission","LAW CLERK 2","",8323
"8324","Iowa Civil Rights Commission","LEGAL COUNSEL","POLK",8324
"8325","Iowa Civil Rights Commission","PUBLIC DEFENDER 2","MARSHALL",8325
"8326","Iowa Civil Rights Commission","PUBLIC SERVICE EXECUTIVE","POLK",8326
"8327","Iowa Civil Rights Commission","PUBLIC SERVICE MANAGER 1","POLK",8327
"8328","Iowa Civil Rights Commission","PUBLIC SERVICE SUPERVISO","POLK",8328
"8329","Iowa Civil Rights Commission","SERIP RETIREE","MARSHALL",8329
"8330","Iowa Civil Rights Commission","SLIP RETIREE","POLK",8330
"8331","Iowa Civil Rights Commission","TRAINING SPECIALIST 2","POLK",8331
"8332","Iowa Civil Rights Commission","WORKFORCE ADVISOR","POLK",8332
"8333","Iowa Communications Network","ACCOUNT CONSULTANT","BLACK HAWK",8333
